packet size: 512bytes
number of packets: 16.0
signal frequency: 100
sample frequency: 200.0
force units: lb, moment units: lb-ft
Counter: 202.0     , Fx: -0.01     ,Fy: -0.02     , Fz: -0.12     , Mx: 0.0212    ,My: 0.0071    ,Mz: 0.0       ,
Counter: 203.0     , Fx: 0.02      ,Fy: 0.0       , Fz: 0.05      , Mx: 0.0283    ,My: 0.0       ,Mz: 0.0092    ,
Counter: 204.0     , Fx: 0.02      ,Fy: -0.02     , Fz: 0.14      , Mx: 0.0141    ,My: -0.0071   ,Mz: 0.0       ,
Counter: 205.0     , Fx: 0.06      ,Fy: 0.02      , Fz: 0.12      , Mx: 0.0141    ,My: -0.0282   ,Mz: -0.0185   ,
Counter: 206.0     , Fx: 0.07      ,Fy: 0.01      , Fz: 0.16      , Mx: 0.0283    ,My: -0.0282   ,Mz: 0.0277    ,
Counter: 207.0     , Fx: 0.04      ,Fy: -0.05     , Fz: -0.1      , Mx: 0.0424    ,My: -0.0212   ,Mz: -0.0185   ,
Counter: 208.0     , Fx: 0.02      ,Fy: 0.0       , Fz: 0.04      , Mx: 0.0       ,My: -0.0212   ,Mz: -0.0185   ,
Counter: 209.0     , Fx: -0.03     ,Fy: 0.03      , Fz: 0.11      , Mx: 0.0212    ,My: -0.0071   ,Mz: 0.0277    ,
Counter: 210.0     , Fx: 0.01      ,Fy: -0.0      , Fz: 0.17      , Mx: -0.0212   ,My: -0.0071   ,Mz: 0.0092    ,
Counter: 211.0     , Fx: 0.01      ,Fy: 0.01      , Fz: -0.02     , Mx: -0.0212   ,My: -0.0071   ,Mz: -0.0277   ,
Counter: 212.0     , Fx: -0.01     ,Fy: -0.02     , Fz: -0.12     , Mx: 0.0071    ,My: 0.0212    ,Mz: 0.0185    ,
Counter: 213.0     , Fx: 0.04      ,Fy: 0.0       , Fz: 0.01      , Mx: -0.0353   ,My: 0.0141    ,Mz: 0.0092    ,
Counter: 214.0     , Fx: -0.05     ,Fy: 0.04      , Fz: 0.22      , Mx: -0.0141   ,My: 0.0353    ,Mz: 0.0092    ,
Counter: 215.0     , Fx: -0.02     ,Fy: 0.0       , Fz: 0.24      , Mx: -0.0141   ,My: -0.0282   ,Mz: 0.0277    ,
Counter: 216.0     , Fx: -0.01     ,Fy: 0.01      , Fz: -0.04     , Mx: -0.0071   ,My: 0.0141    ,Mz: -0.0092   ,
Counter: 217.0     , Fx: -0.06     ,Fy: -0.04     , Fz: 0.27      , Mx: 0.0071    ,My: -0.0212   ,Mz: -0.037    ,
Counter: 218.0     , Fx: 0.01      ,Fy: 0.04      , Fz: 0.11      , Mx: 0.0141    ,My: 0.0353    ,Mz: 0.0462    ,
Counter: 219.0     , Fx: 0.0       ,Fy: 0.0       , Fz: 0.07      , Mx: 0.0283    ,My: -0.0141   ,Mz: -0.0277   ,
Counter: 220.0     , Fx: -0.02     ,Fy: -0.0      , Fz: 0.08      , Mx: 0.0141    ,My: 0.0       ,Mz: -0.0092   ,
Counter: 221.0     , Fx: 0.02      ,Fy: 0.0       , Fz: 0.22      , Mx: 0.0071    ,My: 0.0071    ,Mz: -0.0092   ,
Counter: 222.0     , Fx: 0.01      ,Fy: -0.02     , Fz: 0.09      , Mx: 0.0       ,My: 0.0071    ,Mz: -0.037    ,
Counter: 223.0     , Fx: 0.01      ,Fy: 0.01      , Fz: 0.11      , Mx: -0.0141   ,My: 0.0141    ,Mz: 0.0092    ,
Counter: 224.0     , Fx: 0.01      ,Fy: -0.02     , Fz: -0.12     , Mx: -0.0141   ,My: 0.0071    ,Mz: 0.0185    ,
Counter: 225.0     , Fx: 0.04      ,Fy: -0.0      , Fz: -0.04     , Mx: 0.0071    ,My: 0.0141    ,Mz: 0.0277    ,
Counter: 226.0     , Fx: 0.06      ,Fy: 0.01      , Fz: -0.1      , Mx: 0.0       ,My: -0.0212   ,Mz: -0.037    ,
Counter: 227.0     , Fx: -0.03     ,Fy: -0.06     , Fz: -0.15     , Mx: 0.0071    ,My: 0.0       ,Mz: 0.0277    ,
Counter: 228.0     , Fx: 0.03      ,Fy: 0.05      , Fz: -0.12     , Mx: 0.0071    ,My: 0.0212    ,Mz: 0.0277    ,
Counter: 229.0     , Fx: 0.02      ,Fy: 0.04      , Fz: 0.1       , Mx: -0.0212   ,My: 0.0071    ,Mz: -0.0554   ,
Counter: 230.0     , Fx: 0.02      ,Fy: -0.04     , Fz: -0.13     , Mx: -0.0141   ,My: -0.0071   ,Mz: -0.0185   ,
Counter: 231.0     , Fx: 0.02      ,Fy: 0.0       , Fz: -0.08     , Mx: -0.0071   ,My: -0.0071   ,Mz: 0.0185    ,
Counter: 232.0     , Fx: -0.07     ,Fy: -0.01     , Fz: -0.46     , Mx: -0.0212   ,My: -0.0071   ,Mz: -0.0185   ,
Counter: 233.0     , Fx: -0.01     ,Fy: 0.01      , Fz: 0.03      , Mx: 0.0       ,My: -0.0141   ,Mz: 0.0554    ,
Counter: 234.0     , Fx: 0.02      ,Fy: -0.05     , Fz: 0.13      , Mx: -0.0353   ,My: 0.0212    ,Mz: 0.0832    ,
Counter: 235.0     , Fx: 0.03      ,Fy: 0.01      , Fz: -0.01     , Mx: 0.0071    ,My: -0.0141   ,Mz: -0.0277   ,
Counter: 236.0     , Fx: -0.01     ,Fy: -0.04     , Fz: 0.02      , Mx: -0.0636   ,My: -0.0212   ,Mz: 0.0092    ,
Counter: 237.0     , Fx: -0.0      ,Fy: 0.01      , Fz: 0.2       , Mx: 0.0141    ,My: 0.0       ,Mz: -0.0185   ,
Counter: 238.0     , Fx: -0.0      ,Fy: 0.02      , Fz: 0.13      , Mx: 0.0       ,My: 0.0       ,Mz: 0.0       ,
Counter: 239.0     , Fx: 0.02      ,Fy: -0.02     , Fz: 0.01      , Mx: 0.0141    ,My: 0.0071    ,Mz: -0.0185   ,
Counter: 240.0     , Fx: 0.03      ,Fy: -0.01     , Fz: 0.25      , Mx: 0.0283    ,My: -0.0494   ,Mz: 0.0092    ,
Counter: 241.0     , Fx: -0.01     ,Fy: 0.02      , Fz: 0.05      , Mx: 0.0141    ,My: 0.0141    ,Mz: 0.0185    ,
Counter: 242.0     , Fx: -0.01     ,Fy: 0.01      , Fz: 0.1       , Mx: 0.0071    ,My: 0.0141    ,Mz: -0.0185   ,
Counter: 243.0     , Fx: 0.04      ,Fy: 0.0       , Fz: 0.15      , Mx: -0.0283   ,My: 0.0       ,Mz: 0.0739    ,
Counter: 244.0     , Fx: 0.01      ,Fy: 0.02      , Fz: 0.0       , Mx: 0.0071    ,My: -0.0282   ,Mz: 0.0092    ,
